Binary: b100111 | Hexadecimal: x27
Binary: b100100 | Hexadecimal: x24
Binary: 1000 | Hexadecimal: 8
Binary: 100010 | Hexadecimal: 22
Binary: 10001 | Hexadecimal: 11
Binary: 110001 | Hexadecimal: 31
Binary: 101 | Hexadecimal: 5
Binary: 100111 | Hexadecimal: 27
Binary: 0 | Hexadecimal: 0
Binary: 100001 | Hexadecimal: 21
Binary: 1100 | Hexadecimal: c
Binary: b110 | Hexadecimal: x6
Binary: 11011 | Hexadecimal: 1b
Binary: b100 | Hexadecimal: x4
Binary: b100110 | Hexadecimal: x26
Binary: 11010 | Hexadecimal: 1a
Binary: 110001 | Hexadecimal: 31
Binary: 11101 | Hexadecimal: 1d
Binary: 101010 | Hexadecimal: 2a
Binary: b10000 | Hexadecimal: x10
Binary: b11100 | Hexadecimal: x1c
Binary: 100010 | Hexadecimal: 22
Binary: 10100 | Hexadecimal: 14
Binary: 0 | Hexadecimal: 0
Binary: 11001 | Hexadecimal: 19
Binary: 101101 | Hexadecimal: 2d
Binary: 11 | Hexadecimal: 3
Binary: b101110 | Hexadecimal: x2e
Binary: b101110 | Hexadecimal: x2e
Binary: 11101 | Hexadecimal: 1d
Binary: 100001 | Hexadecimal: 21
Binary: 11101 | Hexadecimal: 1d
Binary: 11010 | Hexadecimal: 1a
Binary: b101 | Hexadecimal: x5
Binary: b100100 | Hexadecimal: x24
Binary: 1100 | Hexadecimal: c
Binary: 101101 | Hexadecimal: 2d
Binary: b110010 | Hexadecimal: x32
Binary: 0 | Hexadecimal: 0
Binary: b110 | Hexadecimal: x6
Binary: b100111 | Hexadecimal: x27
Binary: 100011 | Hexadecimal: 23
Binary: 11010 | Hexadecimal: 1a
Binary: b100011 | Hexadecimal: x23
Binary: b101010 | Hexadecimal: x2a
Binary: 1110 | Hexadecimal: e
Binary: b11 | Hexadecimal: x3
Binary: 10110 | Hexadecimal: 16
Binary: b101111 | Hexadecimal: x2f
Binary: 1100 | Hexadecimal: c
Binary: b10001 | Hexadecimal: x11
Binary: b11111 | Hexadecimal: x1f
Binary: b11001 | Hexadecimal: x19
Binary: b100011 | Hexadecimal: x23
Binary: b10010 | Hexadecimal: x12
Binary: 1110 | Hexadecimal: e
Binary: 100101 | Hexadecimal: 25
Binary: b1000 | Hexadecimal: x8
Binary: b101001 | Hexadecimal: x29
Binary: b110010 | Hexadecimal: x32
Binary: b1001 | Hexadecimal: x9
Binary: 10 | Hexadecimal: 2
Binary: 1100 | Hexadecimal: c
Binary: b100111 | Hexadecimal: x27
Binary: b10001 | Hexadecimal: x11
Binary: 0 | Hexadecimal: 0
Binary: 11011 | Hexadecimal: 1b
Binary: 11100 | Hexadecimal: 1c
Binary: 101101 | Hexadecimal: 2d
Binary: b101100 | Hexadecimal: x2c
Binary: 11100 | Hexadecimal: 1c
Binary: 100011 | Hexadecimal: 23
Binary: b100001 | Hexadecimal: x21
Binary: 101011 | Hexadecimal: 2b
Binary: b100 | Hexadecimal: x4
Binary: 10111 | Hexadecimal: 17
Binary: b110001 | Hexadecimal: x31
Binary: 110001 | Hexadecimal: 31
Binary: b111 | Hexadecimal: x7
Binary: b100110 | Hexadecimal: x26
Binary: b101101 | Hexadecimal: x2d
Binary: 101 | Hexadecimal: 5
Binary: b10101 | Hexadecimal: x15
Binary: 11010 | Hexadecimal: 1a
Binary: b10 | Hexadecimal: x2
Binary: b11000 | Hexadecimal: x18
Binary: 110 | Hexadecimal: 6
Binary: b101101 | Hexadecimal: x2d
Binary: b100 | Hexadecimal: x4
Binary: 1111 | Hexadecimal: f
Binary: 0 | Hexadecimal: 0
Binary: b10001 | Hexadecimal: x11
Binary: b100011 | Hexadecimal: x23
Binary: 101011 | Hexadecimal: 2b
Binary: 101101 | Hexadecimal: 2d
Binary: b100011 | Hexadecimal: x23
Binary: b1000 | Hexadecimal: x8
Binary: 11100 | Hexadecimal: 1c
Binary: 101111 | Hexadecimal: 2f
Binary: 100010 | Hexadecimal: 22
Binary: b11000 | Hexadecimal: x18
Binary: b101010 | Hexadecimal: x2a
Binary: b1101 | Hexadecimal: xd
Binary: 1110 | Hexadecimal: e
Binary: b101101 | Hexadecimal: x2d
Binary: b100011 | Hexadecimal: x23
Binary: 11011 | Hexadecimal: 1b
Binary: b1100 | Hexadecimal: xc
Binary: b10011 | Hexadecimal: x13
Binary: b10100 | Hexadecimal: x14
Binary: b1110 | Hexadecimal: xe
Binary: 10100 | Hexadecimal: 14
Binary: 11110 | Hexadecimal: 1e
Binary: 1100 | Hexadecimal: c
Binary: b100100 | Hexadecimal: x24
Binary: b101111 | Hexadecimal: x2f
Binary: b11011 | Hexadecimal: x1b
Binary: b11 | Hexadecimal: x3
Binary: 110 | Hexadecimal: 6
Binary: 100100 | Hexadecimal: 24
Binary: 1001 | Hexadecimal: 9
Binary: b10000 | Hexadecimal: x10
Binary: 100100 | Hexadecimal: 24
Binary: b11011 | Hexadecimal: x1b
Binary: 111 | Hexadecimal: 7
Binary: b110 | Hexadecimal: x6
Binary: b101 | Hexadecimal: x5
Binary: 101 | Hexadecimal: 5
Binary: 101111 | Hexadecimal: 2f
Binary: 10111 | Hexadecimal: 17
Binary: b110000 | Hexadecimal: x30
Binary: b11000 | Hexadecimal: x18
Binary: 101000 | Hexadecimal: 28
Binary: b100 | Hexadecimal: x4
Binary: b10010 | Hexadecimal: x12
Binary: b10011 | Hexadecimal: x13
Binary: 1110 | Hexadecimal: e
Binary: 1111 | Hexadecimal: f
Binary: 1 | Hexadecimal: 1
Binary: 11000 | Hexadecimal: 18
Binary: b1001 | Hexadecimal: x9
Binary: b110010 | Hexadecimal: x32
Binary: 10010 | Hexadecimal: 12
Binary: 1111 | Hexadecimal: f
Binary: 11110 | Hexadecimal: 1e
Binary: 101100 | Hexadecimal: 2c
Binary: 1001 | Hexadecimal: 9
Binary: 10011 | Hexadecimal: 13
Binary: 100001 | Hexadecimal: 21
Binary: 101001 | Hexadecimal: 29
Binary: b11000 | Hexadecimal: x18
Binary: 101011 | Hexadecimal: 2b
Binary: 110000 | Hexadecimal: 30
Binary: b10111 | Hexadecimal: x17
Binary: 111 | Hexadecimal: 7
Binary: 11100 | Hexadecimal: 1c
Binary: 1000 | Hexadecimal: 8
Binary: b10 | Hexadecimal: x2
Binary: 100101 | Hexadecimal: 25
Binary: 101010 | Hexadecimal: 2a
Binary: b10001 | Hexadecimal: x11
Binary: b110 | Hexadecimal: x6
Binary: 100100 | Hexadecimal: 24
Binary: 10110 | Hexadecimal: 16
Binary: 11011 | Hexadecimal: 1b
Binary: 11111 | Hexadecimal: 1f
Binary: b101111 | Hexadecimal: x2f
Binary: b101011 | Hexadecimal: x2b
Binary: 0 | Hexadecimal: 0
Binary: 11011 | Hexadecimal: 1b
Binary: 11110 | Hexadecimal: 1e
Binary: 1100 | Hexadecimal: c
Binary: b1111 | Hexadecimal: xf
Binary: b10011 | Hexadecimal: x13
Binary: b101010 | Hexadecimal: x2a
Binary: b100101 | Hexadecimal: x25
